# x_mid_mm	dist_mm	average_value
0.03	1.77	19.7051
0.09	1.71	21.6806
0.15	1.65	24.2642
0.21	1.59	27.1414
0.27	1.53	30.1908
0.33	1.47	32.5801
0.39	1.41	35.0427
0.45	1.35	37.9893
0.51	1.29	40.7755
0.57	1.23	43.0861
0.63	1.17	44.725
0.69	1.11	46.4106
0.75	1.05	48.8806
0.81	0.99	51.4563
0.87	0.93	53.6536
0.93	0.87	55.1367
0.99	0.81	56.8318
1.05	0.75	59.5978
1.11	0.69	62.2744
1.17	0.63	63.9588
1.23	0.57	64.2267
1.29	0.51	63.3757
1.35	0.45	60.5966
1.41	0.39	55.9899
1.47	0.33	49.7102
1.53	0.27	43.9419
1.59	0.21	37.6619
1.65	0.15	28.9817
1.71	0.09	24.732
1.77	0.03	nan
