# x_mid_mm	dist_mm	average_value
2.33	0.03	nan
2.39	0.09	48.1326
2.45	0.15	48.3574
2.51	0.21	49.6705
2.57	0.27	51.4829
2.63	0.33	54.4296
2.69	0.39	56.4915
2.75	0.45	59.2007
2.81	0.51	61.1257
2.87	0.57	61.7546
2.93	0.63	61.7351
2.99	0.69	61.3109
3.05	0.75	60.2835
3.11	0.81	59.147
3.17	0.87	58.3711
3.23	0.93	57.1148
3.29	0.99	55.8704
3.35	1.05	53.7655
3.41	1.11	51.2964
3.47	1.17	49.3423
3.53	1.23	46.6734
3.59	1.29	44.6428
3.65	1.35	41.5781
3.71	1.41	38.0701
3.77	1.47	34.3964
3.83	1.53	31.3725
3.89	1.59	27.9789
3.95	1.65	23.3459
4.01	1.71	18.8835
4.07	1.77	15.934
