# x_mid_mm	dist_mm	average_value
0.03	1.77	17.014
0.09	1.71	19.7259
0.15	1.65	23.5856
0.21	1.59	28.1654
0.27	1.53	33.0526
0.33	1.47	36.6864
0.39	1.41	40.1411
0.45	1.35	44.325
0.51	1.29	48.0009
0.57	1.23	51.0295
0.63	1.17	53.1792
0.69	1.11	55.1897
0.75	1.05	57.8476
0.81	0.99	60.5453
0.87	0.93	62.7647
0.93	0.87	64.0366
0.99	0.81	65.5174
1.05	0.75	67.8675
1.11	0.69	70.2094
1.17	0.63	71.7797
1.23	0.57	72.1434
1.29	0.51	71.6107
1.35	0.45	69.7277
1.41	0.39	66.3173
1.47	0.33	60.82
1.53	0.27	54.8946
1.59	0.21	47.5211
1.65	0.15	37.4773
1.71	0.09	32.8106
1.77	0.03	nan
