# x_mid_mm	dist_mm	average_value
2.33	0.03	nan
2.39	0.09	49.7783
2.45	0.15	50.6823
2.51	0.21	53.2681
2.57	0.27	55.7409
2.63	0.33	59.1216
2.69	0.39	61.3026
2.75	0.45	64.0745
2.81	0.51	66.0488
2.87	0.57	66.6711
2.93	0.63	66.5343
2.99	0.69	65.9296
3.05	0.75	64.5565
3.11	0.81	63.0016
3.17	0.87	61.89
3.23	0.93	60.2919
3.29	0.99	58.7552
3.35	1.05	56.2577
3.41	1.11	53.3954
3.47	1.17	51.1588
3.53	1.23	48.1302
3.59	1.29	45.9517
3.65	1.35	42.7695
3.71	1.41	39.2935
3.77	1.47	35.7036
3.83	1.53	32.6838
3.89	1.59	29.3081
3.95	1.65	24.738
4.01	1.71	20.4033
4.07	1.77	17.4491
