# x_mm	value
0.0180894	19.0998
0.0542683	20.483
0.0904472	21.7711
0.126626	23.8308
0.162805	25.7595
0.198984	28.1294
0.235163	31.095
0.271341	33.7056
0.30752	36.8569
0.343699	39.2097
0.379878	41.0941
0.416057	42.6743
0.452236	43.0284
0.488415	43.2866
0.524593	43.8047
0.560772	44.2041
0.596951	45.6476
0.63313	46.8775
0.669309	48.0323
0.705488	49.8752
0.741667	51.4344
0.777846	52.8658
0.814024	54.7674
0.850203	55.5903
0.886382	56.3038
0.922561	56.88
0.95874	57.4147
0.994919	57.6462
1.0311	58.5734
1.06728	59.3119
1.10346	60.088
1.13963	60.673
1.17581	61.4929
1.21199	62.0533
1.24817	62.4483
1.28435	61.8155
1.32053	60.7117
1.35671	60.2939
1.39289	59.7596
1.42907	59.3378
1.46524	58.9653
1.50142	57.8658
1.5376	56.3554
1.57378	54.4501
1.60996	50.9005
1.64614	47.155
1.68232	45.1997
1.7185	44.2687
1.75467	45.6167
1.79085	48.3419
1.82703	51.8029
1.86321	nan
1.89939	nan
1.93557	nan
1.97175	nan
2.00793	nan
2.04411	nan
2.08028	nan
2.11646	nan
2.15264	nan
2.18882	nan
2.225	nan
2.26118	nan
2.29736	nan
2.33354	nan
2.36972	nan
2.40589	nan
2.44207	nan
2.47825	nan
2.51443	nan
2.55061	nan
2.58679	nan
2.62297	38.6083
2.65915	47.9826
2.69533	54.3501
2.7315	59.0502
2.76768	63.8495
2.80386	66.2785
2.84004	68.1379
2.87622	68.9639
2.9124	69.8245
2.94858	69.9788
2.98476	69.7389
3.02093	69.3529
3.05711	68.7156
3.09329	67.5055
3.12947	66.2783
3.16565	65.2336
3.20183	64.9532
3.23801	63.0733
3.27419	60.1325
3.31037	56.21
3.34654	54.0176
3.38272	52.8932
3.4189	52.5606
3.45508	50.5605
3.49126	49.6166
3.52744	47.7549
3.56362	46.382
3.5998	45.6624
3.63598	45.3992
3.67215	44.0735
3.70833	42.61
3.74451	39.5905
3.78069	38.4424
3.81687	38.0895
3.85305	37.521
3.88923	36.8799
3.92541	34.7987
3.96159	33.0622
3.99776	30.8275
4.03394	28.9229
4.07012	27.4445
4.1063	25.7967
4.14248	24.4962
4.17866	23.4957
4.21484	22.7686
4.25102	20.8468
4.2872	20.2839
4.32337	19.9486
4.35955	19.1696
4.39573	17.1827
4.43191	13.8713
