# x_mm	value
0.0180894	19.5283
0.0542683	22.7299
0.0904472	25.4311
0.126626	25.2046
0.162805	25.4191
0.198984	26.354
0.235163	29.4922
0.271341	31.6816
0.30752	34.2989
0.343699	35.8038
0.379878	38.8834
0.416057	41.3507
0.452236	43.536
0.488415	44.4417
0.524593	45.4369
0.560772	47.4948
0.596951	48.7454
0.63313	50.8716
0.669309	52.2233
0.705488	53.0299
0.741667	54.2223
0.777846	56.0691
0.814024	58.7899
0.850203	61.5619
0.886382	63.2243
0.922561	64.4683
0.95874	65.2971
0.994919	65.9363
1.0311	66.8483
1.06728	67.6158
1.10346	68.7391
1.13963	69.5972
1.17581	70.7087
1.21199	72.0858
1.24817	72.9063
1.28435	73.048
1.32053	72.3766
1.35671	71.491
1.39289	70.7865
1.42907	70.3829
1.46524	68.4001
1.50142	66.5264
1.5376	63.4699
1.57378	59.0469
1.60996	55.2742
1.64614	48.1223
1.68232	42.375
1.7185	37.285
1.75467	32.6216
1.79085	29.3637
1.82703	24.8221
1.86321	nan
1.89939	nan
1.93557	nan
1.97175	nan
2.00793	nan
2.04411	nan
2.08028	nan
2.11646	nan
2.15264	nan
2.18882	nan
2.225	nan
2.26118	nan
2.29736	nan
2.33354	nan
2.36972	nan
2.40589	nan
2.44207	nan
2.47825	nan
2.51443	nan
2.55061	nan
2.58679	nan
2.62297	57.0951
2.65915	55.5261
2.69533	55.2461
2.7315	54.9422
2.76768	55.277
2.80386	57.1622
2.84004	59.5967
2.87622	61.234
2.9124	61.8878
2.94858	61.5876
2.98476	61.7323
3.02093	61.5337
3.05711	61.9242
3.09329	61.9303
3.12947	62.31
3.16565	62.1916
3.20183	61.9781
3.23801	60.8198
3.27419	59.3598
3.31037	58.1762
3.34654	57.6451
3.38272	57.4161
3.4189	57.416
3.45508	57.0975
3.49126	55.963
3.52744	54.5588
3.56362	53.9137
3.5998	53.7706
3.63598	53.735
3.67215	52.6532
3.70833	51.1874
3.74451	49.0878
3.78069	46.9041
3.81687	44.3412
3.85305	43.0021
3.88923	41.5408
3.92541	39.9923
3.96159	37.771
3.99776	35.3874
4.03394	31.5782
4.07012	29.0744
4.1063	27.0199
4.14248	24.576
4.17866	23.49
4.21484	21.3833
4.25102	19.2108
4.2872	16.6679
4.32337	13.8946
4.35955	11.3013
4.39573	8.33211
4.43191	7.16439
