# x_mm,value
0.0180894,9.10965
0.0542683,11.2021
0.0904472,13.4691
0.126626,16.1904
0.162805,18.4655
0.198984,20.9256
0.235163,23.656
0.271341,26.918
0.30752,29.3196
0.343699,31.2044
0.379878,33.4327
0.416057,34.6538
0.452236,36.4967
0.488415,38.4837
0.524593,40.9748
0.560772,43.1934
0.596951,45.4876
0.63313,46.6684
0.669309,49.5322
0.705488,51.4974
0.741667,53.3772
0.777846,55.0104
0.814024,56.0148
0.850203,56.735
0.886382,57.8097
0.922561,59.3027
0.95874,60.5412
0.994919,61.8686
1.0311,62.8834
1.06728,64.0796
1.10346,65.812
1.13963,67.7122
1.17581,69.2863
1.21199,70.5106
1.24817,71.5288
1.28435,71.5771
1.32053,71.8106
1.35671,72.1191
1.39289,72.0373
1.42907,71.0552
1.46524,69.7058
1.50142,68.6386
1.5376,67.0556
1.57378,66.3529
1.60996,63.3652
1.64614,61.5927
1.68232,58.0875
1.7185,55.198
1.75467,51.0712
1.79085,47.9395
1.82703,45.7582
1.86321,nan
1.89939,nan
1.93557,nan
1.97175,nan
2.00793,nan
2.04411,nan
2.08028,nan
2.11646,nan
2.15264,nan
2.18882,nan
2.225,nan
2.26118,nan
2.29736,nan
2.33354,nan
2.36972,nan
2.40589,nan
2.44207,nan
2.47825,nan
2.51443,nan
2.55061,nan
2.58679,nan
2.62297,42.5312
2.65915,44.0796
2.69533,45.0398
2.7315,47.2847
2.76768,48.4
2.80386,49.1249
2.84004,50.0898
2.87622,52.1392
2.9124,53.4707
2.94858,54.1837
2.98476,56.1008
3.02093,57.5658
3.05711,58.7546
3.09329,60.3961
3.12947,61.3016
3.16565,62.3311
3.20183,62.3598
3.23801,61.7709
3.27419,61.1548
3.31037,60.7678
3.34654,60.4557
3.38272,59.5491
3.4189,59.2215
3.45508,59.1045
3.49126,58.6412
3.52744,58.145
3.56362,57.7814
3.5998,57.5229
3.63598,56.3087
3.67215,55.0666
3.70833,53.6716
3.74451,52.7439
3.78069,52.513
3.81687,51.2007
3.85305,49.9865
3.88923,49.4903
3.92541,48.2456
3.96159,46.6829
3.99776,44.8725
4.03394,43.4765
4.07012,40.9239
4.1063,38.6654
4.14248,37.1194
4.17866,35.6251
4.21484,32.6528
4.25102,28.7103
4.2872,25.8353
4.32337,23.1298
4.35955,21.3264
4.39573,18.6028
4.43191,16.2502
