# x_mm	value
0.0180894	14.0553
0.0542683	14.9771
0.0904472	15.2815
0.126626	15.7569
0.162805	16.63
0.198984	17.5837
0.235163	18.248
0.271341	19.0585
0.30752	20.2881
0.343699	21.6398
0.379878	23.2655
0.416057	24.9426
0.452236	26.6062
0.488415	27.9157
0.524593	29.0106
0.560772	29.8263
0.596951	30.855
0.63313	32.0913
0.669309	33.409
0.705488	35.3012
0.741667	37.2862
0.777846	38.8878
0.814024	40.3655
0.850203	41.4753
0.886382	43.0111
0.922561	44.3195
0.95874	45.5555
0.994919	46.5128
1.0311	47.9573
1.06728	49.3904
1.10346	51.1426
1.13963	53.155
1.17581	55.2645
1.21199	57.1064
1.24817	58.3313
1.28435	59.2604
1.32053	60.0611
1.35671	60.6455
1.39289	60.64
1.42907	60.0538
1.46524	59.3173
1.50142	57.8712
1.5376	55.8313
1.57378	53.6866
1.60996	51.3323
1.64614	48.1186
1.68232	44.187
1.7185	39.8977
1.75467	34.5041
1.79085	28.3515
1.82703	20.9759
1.86321	nan
1.89939	nan
1.93557	nan
1.97175	nan
2.00793	nan
2.04411	nan
2.08028	nan
2.11646	nan
2.15264	nan
2.18882	nan
2.225	nan
2.26118	nan
2.29736	nan
2.33354	nan
2.36972	nan
2.40589	nan
2.44207	nan
2.47825	nan
2.51443	nan
2.55061	nan
2.58679	nan
2.62297	37.5611
2.65915	38.2243
2.69533	37.8464
2.7315	37.1415
2.76768	38.1935
2.80386	39.2243
2.84004	40.2797
2.87622	41.0036
2.9124	42.0666
2.94858	42.8226
2.98476	43.8595
3.02093	44.5705
3.05711	45.2521
3.09329	45.7399
3.12947	45.8804
3.16565	46.1783
3.20183	46.0139
3.23801	45.9967
3.27419	45.9723
3.31037	46.0317
3.34654	45.993
3.38272	45.8413
3.4189	45.7357
3.45508	45.4472
3.49126	45.1677
3.52744	45.0528
3.56362	44.5304
3.5998	43.8433
3.63598	43.1051
3.67215	42.7259
3.70833	41.985
3.74451	40.8787
3.78069	39.9704
3.81687	38.8856
3.85305	38.0074
3.88923	36.9327
3.92541	35.9829
3.96159	34.7991
3.99776	33.4799
4.03394	31.8906
4.07012	30.4374
4.1063	29.1596
4.14248	27.6279
4.17866	25.9023
4.21484	24.6658
4.25102	23.0981
4.2872	21.2128
4.32337	18.966
4.35955	17.4634
4.39573	16.0667
4.43191	15.0325
