# x_abs_mm	x_rel_mm	value
0.011094	-3.84962	0
0.033282	-3.82743	0
0.05547	-3.80524	0
0.077658	-3.78305	0
0.099846	-3.76087	0
0.122034	-3.73868	0
0.144222	-3.71649	0
0.16641	-3.6943	0
0.188598	-3.67211	-0.00071005
0.210786	-3.64993	-0.0017528
0.232974	-3.62774	0
0.255162	-3.60555	0
0.27735	-3.58336	0
0.299538	-3.56117	0
0.321726	-3.53899	0
0.343914	-3.5168	0
0.366102	-3.49461	0
0.38829	-3.47242	0
0.410478	-3.45023	0
0.432666	-3.42805	0
0.454854	-3.40586	0
0.477042	-3.38367	0
0.49923	-3.36148	0
0.521418	-3.33929	0
0.543606	-3.31711	0
0.565794	-3.29492	0
0.587982	-3.27273	0
0.61017	-3.25054	0
0.632358	-3.22835	0
0.654546	-3.20617	0
0.676734	-3.18398	0
0.698922	-3.16179	0
0.72111	-3.1396	0
0.743298	-3.11741	0
0.765486	-3.09523	0
0.787674	-3.07304	0
0.809862	-3.05085	0
0.83205	-3.02866	0
0.854238	-3.00647	0
0.876426	-2.98429	0
0.898614	-2.9621	0
0.920802	-2.93991	0
0.94299	-2.91772	0
0.965178	-2.89553	0
0.987366	-2.87335	0
1.00955	-2.85116	0
1.03174	-2.82897	0
1.05393	-2.80678	0
1.07612	-2.78459	0
1.09831	-2.76241	0
1.12049	-2.74022	0
1.14268	-2.71803	0
1.16487	-2.69584	0
1.18706	-2.67365	0.0489271
1.20925	-2.65147	0.070932
1.23143	-2.62928	0.0853995
1.25362	-2.60709	0.0949266
1.27581	-2.5849	0.0939594
1.298	-2.56271	0.0721055
1.32019	-2.54053	0.0277453
1.34237	-2.51834	0
1.36456	-2.49615	0
1.38675	-2.47396	0
1.40894	-2.45177	0
1.43113	-2.42959	0
1.45331	-2.4074	0
1.4755	-2.38521	0
1.49769	-2.36302	0.00345084
1.51988	-2.34083	0.0117845
1.54207	-2.31865	0.015368
1.56425	-2.29646	0.0215023
1.58644	-2.27427	0.028767
1.60863	-2.25208	0.0375818
1.63082	-2.22989	0.0447514
1.65301	-2.20771	0.0520338
1.67519	-2.18552	0.0562728
1.69738	-2.16333	0.0589183
1.71957	-2.14114	0.0643388
1.74176	-2.11895	0.0668076
1.76395	-2.09677	0.0717256
1.78613	-2.07458	0.0756308
1.80832	-2.05239	0.0773037
1.83051	-2.0302	0.0824218
1.8527	-2.00801	0.0800421
1.87489	-1.98583	0.0836326
1.89707	-1.96364	0.0847853
1.91926	-1.94145	0.0816591
1.94145	-1.91926	0.0879734
1.96364	-1.89707	0.0951502
1.98583	-1.87489	0.108114
2.00801	-1.8527	0.113105
2.0302	-1.83051	0.114792
2.05239	-1.80832	0.117815
2.07458	-1.78613	0.118249
2.09677	-1.76395	0.116474
2.11895	-1.74176	0.11767
2.14114	-1.71957	0.119019
2.16333	-1.69738	0.121982
2.18552	-1.67519	0.124886
2.20771	-1.65301	0.131135
2.22989	-1.63082	0.132993
2.25208	-1.60863	0.136731
2.27427	-1.58644	0.136996
2.29646	-1.56425	0.136211
2.31865	-1.54207	0.139287
2.34083	-1.51988	0.145137
2.36302	-1.49769	0.149214
2.38521	-1.4755	0.151174
2.4074	-1.45331	0.155477
2.42959	-1.43113	0.16352
2.45177	-1.40894	0.168429
2.47396	-1.38675	0.174485
2.49615	-1.36456	0.172062
2.51834	-1.34237	0.173975
2.54053	-1.32019	0.175849
2.56271	-1.298	0.17835
2.5849	-1.27581	0.185598
2.60709	-1.25362	0.187609
2.62928	-1.23143	0.188117
2.65147	-1.20925	0.187193
2.67365	-1.18706	0.188554
2.69584	-1.16487	0.188629
2.71803	-1.14268	0.190774
2.74022	-1.12049	0.192522
2.76241	-1.09831	0.19507
2.78459	-1.07612	0.194434
2.80678	-1.05393	0.197464
2.82897	-1.03174	0.199559
2.85116	-1.00955	0.20318
2.87335	-0.987366	0.203516
2.89553	-0.965178	0.204533
2.91772	-0.94299	0.210097
2.93991	-0.920802	0.215327
2.9621	-0.898614	0.216734
2.98429	-0.876426	0.221238
3.00647	-0.854238	0.223522
3.02866	-0.83205	0.228258
3.05085	-0.809862	0.234962
3.07304	-0.787674	0.239065
3.09523	-0.765486	0.244094
3.11741	-0.743298	0.24786
3.1396	-0.72111	0.251869
3.16179	-0.698922	0.259032
3.18398	-0.676734	0.265197
3.20617	-0.654546	0.27272
3.22835	-0.632358	0.278036
3.25054	-0.61017	0.287029
3.27273	-0.587982	0.301027
3.29492	-0.565794	0.312622
3.31711	-0.543606	0.321341
3.33929	-0.521418	0.327044
3.36148	-0.49923	0.334338
3.38367	-0.477042	0.341194
3.40586	-0.454854	0.341427
3.42805	-0.432666	0.344005
3.45023	-0.410478	0.350008
3.47242	-0.38829	0.3616
3.49461	-0.366102	0.367263
3.5168	-0.343914	0.37509
3.53899	-0.321726	0.387711
3.56117	-0.299538	0.397784
3.58336	-0.27735	0.397347
3.60555	-0.255162	0.390186
3.62774	-0.232974	0.378919
3.64993	-0.210786	0.364181
3.67211	-0.188598	0.173436
3.6943	-0.16641	0.0150967
3.71649	-0.144222	0
3.73868	-0.122034	0
3.76087	-0.099846	0
3.78305	-0.077658	0
3.80524	-0.05547	0
3.82743	-0.033282	0
3.84962	-0.011094	0
3.87181	0.011094	0
3.89399	0.033282	0
3.91618	0.05547	0
3.93837	0.077658	0
3.96056	0.099846	0
3.98275	0.122034	0
4.00493	0.144222	0
4.02712	0.16641	0
4.04931	0.188598	0
4.0715	0.210786	0
4.09369	0.232974	0
4.11587	0.255162	0
4.13806	0.27735	0
4.16025	0.299538	0
4.18244	0.321726	0
4.20463	0.343914	0
4.22681	0.366102	0
4.249	0.38829	0
4.27119	0.410478	0
4.29338	0.432666	0
4.31557	0.454854	0
4.33775	0.477042	0
4.35994	0.49923	0
4.38213	0.521418	0.00134034
4.40432	0.543606	0.0227475
4.42651	0.565794	0.0694129
4.44869	0.587982	0.0928633
4.47088	0.61017	0.134627
4.49307	0.632358	0.179656
4.51526	0.654546	0.219429
4.53745	0.676734	0.238965
4.55963	0.698922	0.253476
4.58182	0.72111	0.262295
4.60401	0.743298	0.264053
4.6262	0.765486	0.267656
4.64839	0.787674	0.267895
4.67057	0.809862	0.268127
4.69276	0.83205	0.268051
4.71495	0.854238	0.266359
4.73714	0.876426	0.25987
4.75933	0.898614	0.258408
4.78151	0.920802	0.254194
4.8037	0.94299	0.246913
4.82589	0.965178	0.240482
4.84808	0.987366	0.235835
4.87027	1.00955	0.235606
4.89245	1.03174	0.237133
4.91464	1.05393	0.234631
4.93683	1.07612	0.235206
4.95902	1.09831	0.23207
4.98121	1.12049	0.230723
5.00339	1.14268	0.222975
5.02558	1.16487	0.218196
5.04777	1.18706	0.21183
5.06996	1.20925	0.207228
5.09215	1.23143	0.206046
5.11433	1.25362	0.204489
5.13652	1.27581	0.200065
5.15871	1.298	0.194505
5.1809	1.32019	0.190803
5.20309	1.34237	0.180828
5.22527	1.36456	0.171723
5.24746	1.38675	0.172345
5.26965	1.40894	0.173764
5.29184	1.43113	0.167705
5.31403	1.45331	0.163287
5.33621	1.4755	0.158198
5.3584	1.49769	0.15624
5.38059	1.51988	0.153548
5.40278	1.54207	0.152102
5.42497	1.56425	0.150109
5.44715	1.58644	0.149624
5.46934	1.60863	0.14831
5.49153	1.63082	0.144859
5.51372	1.65301	0.144332
5.53591	1.67519	0.14266
5.55809	1.69738	0.139924
5.58028	1.71957	0.138923
5.60247	1.74176	0.135026
5.62466	1.76395	0.129912
5.64685	1.78613	0.122564
5.66903	1.80832	0.120214
5.69122	1.83051	0.124472
5.71341	1.8527	0.128502
5.7356	1.87489	0.128144
5.75779	1.89707	0.123978
5.77997	1.91926	0.115005
5.80216	1.94145	0.109103
5.82435	1.96364	0.108578
5.84654	1.98583	0.103931
5.86873	2.00801	0.0979322
5.89091	2.0302	0.0908351
5.9131	2.05239	0.0878486
5.93529	2.07458	0.0883409
5.95748	2.09677	0.0844221
5.97967	2.11895	0.0825292
6.00185	2.14114	0.0833744
6.02404	2.16333	0.0878977
6.04623	2.18552	0.0940642
6.06842	2.20771	0.0974607
6.09061	2.22989	0.100433
6.11279	2.25208	0.0962362
6.13498	2.27427	0.0962493
6.15717	2.29646	0.096135
6.17936	2.31865	0.0934307
6.20155	2.34083	0.09895
6.22373	2.36302	0.106748
6.24592	2.38521	0.11863
6.26811	2.4074	0.12585
6.2903	2.42959	0.128151
6.31249	2.45177	0.128011
6.33467	2.47396	0.12127
6.35686	2.49615	0.0861699
6.37905	2.51834	0.033637
6.40124	2.54053	0.00488193
6.42343	2.56271	0
6.44561	2.5849	0
6.4678	2.60709	0
6.48999	2.62928	0
6.51218	2.65147	0
6.53437	2.67365	0
6.55655	2.69584	0
6.57874	2.71803	0.0387804
6.60093	2.74022	0.0851499
6.62312	2.76241	0.119662
6.64531	2.78459	0.133213
6.66749	2.80678	0.136466
6.68968	2.82897	0.0929375
6.71187	2.85116	0.00651142
6.73406	2.87335	0
6.75625	2.89553	0
6.77843	2.91772	0
6.80062	2.93991	0
6.82281	2.9621	0
6.845	2.98429	0
6.86719	3.00647	0
6.88937	3.02866	0
6.91156	3.05085	0
6.93375	3.07304	0
6.95594	3.09523	0
6.97813	3.11741	0
7.00031	3.1396	0
7.0225	3.16179	0
7.04469	3.18398	0
7.06688	3.20617	0
7.08907	3.22835	0
7.11125	3.25054	0
7.13344	3.27273	0
7.15563	3.29492	0
7.17782	3.31711	0
7.20001	3.33929	0
7.22219	3.36148	0
7.24438	3.38367	0
7.26657	3.40586	0
7.28876	3.42805	0
7.31095	3.45023	0
7.33313	3.47242	0
7.35532	3.49461	0
7.37751	3.5168	0
7.3997	3.53899	0.00361332
7.42189	3.56117	0.00475011
7.44407	3.58336	0.00383572
7.46626	3.60555	0.0052301
7.48845	3.62774	0
7.51064	3.64993	0
7.53283	3.67211	0
7.55501	3.6943	0.000698108
7.5772	3.71649	0
7.59939	3.73868	0
7.62158	3.76087	0
7.64377	3.78305	0
7.66595	3.80524	0
7.68814	3.82743	0
7.71033	3.84962	0
