# x_rel_mm	value	x_abs_mm	center_mm
-4.03822	0.439862	0.011094	4.04931
-4.01603	0.505621	0.033282	4.04931
-3.99384	0.576456	0.05547	4.04931
-3.97165	0.613676	0.077658	4.04931
-3.94946	0.617069	0.099846	4.04931
-3.92728	0.825011	0.122034	4.04931
-3.90509	1.2919	0.144222	4.04931
-3.8829	1.61154	0.16641	4.04931
-3.86071	1.6989	0.188598	4.04931
-3.83852	1.76209	0.210786	4.04931
-3.81634	1.84551	0.232974	4.04931
-3.79415	1.79219	0.255162	4.04931
-3.77196	1.61297	0.27735	4.04931
-3.74977	1.58524	0.299538	4.04931
-3.72758	1.17218	0.321726	4.04931
-3.7054	1.07155	0.343914	4.04931
-3.68321	1.163	0.366102	4.04931
-3.66102	1.34414	0.38829	4.04931
-3.63883	1.46548	0.410478	4.04931
-3.61664	1.40964	0.432666	4.04931
-3.59446	1.40714	0.454854	4.04931
-3.57227	1.35703	0.477042	4.04931
-3.55008	1.31247	0.49923	4.04931
-3.52789	1.43908	0.521418	4.04931
-3.5057	1.43945	0.543606	4.04931
-3.48352	1.44843	0.565794	4.04931
-3.46133	1.34797	0.587982	4.04931
-3.43914	1.39967	0.61017	4.04931
-3.41695	1.29111	0.632358	4.04931
-3.39476	1.2589	0.654546	4.04931
-3.37258	1.14733	0.676734	4.04931
-3.35039	1.32105	0.698922	4.04931
-3.3282	1.1736	0.72111	4.04931
-3.30601	1.03518	0.743298	4.04931
-3.28382	1.07814	0.765486	4.04931
-3.26164	1.31696	0.787674	4.04931
-3.23945	1.52255	0.809862	4.04931
-3.21726	1.53289	0.83205	4.04931
-3.19507	1.59412	0.854238	4.04931
-3.17288	1.5377	0.876426	4.04931
-3.1507	1.51803	0.898614	4.04931
-3.12851	1.44486	0.920802	4.04931
-3.10632	1.44838	0.94299	4.04931
-3.08413	1.22845	0.965178	4.04931
-3.06194	1.28884	0.987366	4.04931
-3.03976	1.27712	1.00955	4.04931
-3.01757	1.26391	1.03174	4.04931
-2.99538	1.26111	1.05393	4.04931
-2.97319	1.31464	1.07612	4.04931
-2.951	1.26611	1.09831	4.04931
-2.92882	1.31171	1.12049	4.04931
-2.90663	1.30547	1.14268	4.04931
-2.88444	1.23025	1.16487	4.04931
-2.86225	4.98429	1.18706	4.04931
-2.84006	6.61052	1.20925	4.04931
-2.81788	7.64154	1.23143	4.04931
-2.79569	8.27692	1.25362	4.04931
-2.7735	8.1249	1.27581	4.04931
-2.75131	6.32174	1.298	4.04931
-2.72912	2.75849	1.32019	4.04931
-2.70694	0.476814	1.34237	4.04931
-2.68475	0.456122	1.36456	4.04931
-2.66256	0.380376	1.38675	4.04931
-2.64037	0.267036	1.40894	4.04931
-2.61818	0.107137	1.43113	4.04931
-2.596	0	1.45331	4.04931
-2.57381	0	1.4755	4.04931
-2.55162	0.647338	1.49769	4.04931
-2.52943	1.39874	1.51988	4.04931
-2.50724	1.81388	1.54207	4.04931
-2.48506	2.47728	1.56425	4.04931
-2.46287	3.11838	1.58644	4.04931
-2.44068	3.84926	1.60863	4.04931
-2.41849	4.48453	1.63082	4.04931
-2.3963	5.09037	1.65301	4.04931
-2.37412	5.52222	1.67519	4.04931
-2.35193	6.03276	1.69738	4.04931
-2.32974	6.67447	1.71957	4.04931
-2.30755	7.10484	1.74176	4.04931
-2.28536	7.61515	1.76395	4.04931
-2.26318	8.09422	1.78613	4.04931
-2.24099	8.40644	1.80832	4.04931
-2.2188	8.87323	1.83051	4.04931
-2.19661	8.38263	1.8527	4.04931
-2.17442	8.50322	1.87489	4.04931
-2.15224	8.48757	1.89707	4.04931
-2.13005	7.97548	1.91926	4.04931
-2.10786	8.45611	1.94145	4.04931
-2.08567	8.927	1.96364	4.04931
-2.06348	9.80923	1.98583	4.04931
-2.0413	10.1909	2.00801	4.04931
-2.01911	10.3938	2.0302	4.04931
-1.99692	10.6824	2.05239	4.04931
-1.97473	10.8632	2.07458	4.04931
-1.95254	10.7882	2.09677	4.04931
-1.93036	10.8293	2.11895	4.04931
-1.90817	11.0908	2.14114	4.04931
-1.88598	11.4093	2.16333	4.04931
-1.86379	11.7418	2.18552	4.04931
-1.8416	12.3889	2.20771	4.04931
-1.81942	12.7093	2.22989	4.04931
