# x_rel_mm	value	x_abs_mm	center_mm
-4.21572	0	0.011094	4.22681
-4.19353	0	0.033282	4.22681
-4.17134	0	0.05547	4.22681
-4.14916	0	0.077658	4.22681
-4.12697	0	0.099846	4.22681
-4.10478	-0.165051	0.122034	4.22681
-4.08259	0	0.144222	4.22681
-4.0604	0.0667669	0.16641	4.22681
-4.03822	-0.412725	0.188598	4.22681
-4.01603	0.0115558	0.210786	4.22681
-3.99384	-0.052574	0.232974	4.22681
-3.97165	0.54709	0.255162	4.22681
-3.94946	0.754183	0.27735	4.22681
-3.92728	1.24676	0.299538	4.22681
-3.90509	0.475497	0.321726	4.22681
-3.8829	0.383642	0.343914	4.22681
-3.86071	0.237597	0.366102	4.22681
-3.83852	0.76387	0.38829	4.22681
-3.81634	-0.141805	0.410478	4.22681
-3.79415	-0.134784	0.432666	4.22681
-3.77196	0.164124	0.454854	4.22681
-3.74977	-0.105031	0.477042	4.22681
-3.72758	0.269387	0.49923	4.22681
-3.7054	0.370574	0.521418	4.22681
-3.68321	0.313162	0.543606	4.22681
-3.66102	0.109992	0.565794	4.22681
-3.63883	-0.162196	0.587982	4.22681
-3.61664	-0.00592762	0.61017	4.22681
-3.59446	0.0526455	0.632358	4.22681
-3.57227	0	0.654546	4.22681
-3.55008	0	0.676734	4.22681
-3.52789	0	0.698922	4.22681
-3.5057	0	0.72111	4.22681
-3.48352	0	0.743298	4.22681
-3.46133	0	0.765486	4.22681
-3.43914	0	0.787674	4.22681
-3.41695	0	0.809862	4.22681
-3.39476	0	0.83205	4.22681
-3.37258	0	0.854238	4.22681
-3.35039	0	0.876426	4.22681
-3.3282	0	0.898614	4.22681
-3.30601	0	0.920802	4.22681
-3.28382	0	0.94299	4.22681
-3.26164	0	0.965178	4.22681
-3.23945	0	0.987366	4.22681
-3.21726	0	1.00955	4.22681
-3.19507	0	1.03174	4.22681
-3.17288	0	1.05393	4.22681
-3.1507	0	1.07612	4.22681
-3.12851	0	1.09831	4.22681
-3.10632	0	1.12049	4.22681
-3.08413	0	1.14268	4.22681
-3.06194	0	1.16487	4.22681
-3.03976	0	1.18706	4.22681
-3.01757	0	1.20925	4.22681
-2.99538	0	1.23143	4.22681
-2.97319	0	1.25362	4.22681
-2.951	0	1.27581	4.22681
-2.92882	0	1.298	4.22681
-2.90663	0	1.32019	4.22681
-2.88444	0	1.34237	4.22681
-2.86225	0	1.36456	4.22681
-2.84006	0	1.38675	4.22681
-2.81788	0	1.40894	4.22681
-2.79569	0	1.43113	4.22681
-2.7735	0	1.45331	4.22681
