# x_rel_mm	value	x_abs_mm	center_mm
-7.07797	0	0.011094	7.08907
-7.05578	0	0.033282	7.08907
-7.0336	0	0.05547	7.08907
-7.01141	0	0.077658	7.08907
-6.98922	0	0.099846	7.08907
-6.96703	0	0.122034	7.08907
-6.94484	0	0.144222	7.08907
-6.92266	0	0.16641	7.08907
-6.90047	0	0.188598	7.08907
-6.87828	0	0.210786	7.08907
-6.85609	0	0.232974	7.08907
-6.8339	0	0.255162	7.08907
-6.81172	0	0.27735	7.08907
-6.78953	0	0.299538	7.08907
-6.76734	0	0.321726	7.08907
-6.74515	0	0.343914	7.08907
-6.72296	0	0.366102	7.08907
-6.70078	0	0.38829	7.08907
-6.67859	0	0.410478	7.08907
-6.6564	0	0.432666	7.08907
-6.63421	0	0.454854	7.08907
-6.61202	0	0.477042	7.08907
-6.58984	0	0.49923	7.08907
-6.56765	0	0.521418	7.08907
-6.54546	0	0.543606	7.08907
-6.52327	0	0.565794	7.08907
-6.50108	0	0.587982	7.08907
-6.4789	0	0.61017	7.08907
-6.45671	0	0.632358	7.08907
-6.43452	0	0.654546	7.08907
-6.41233	0	0.676734	7.08907
-6.39014	0	0.698922	7.08907
-6.36796	0	0.72111	7.08907
-6.34577	0	0.743298	7.08907
-6.32358	0	0.765486	7.08907
-6.30139	0	0.787674	7.08907
-6.2792	0	0.809862	7.08907
-6.25702	0	0.83205	7.08907
-6.23483	0	0.854238	7.08907
-6.21264	0	0.876426	7.08907
-6.19045	0	0.898614	7.08907
-6.16826	0	0.920802	7.08907
-6.14608	0	0.94299	7.08907
-6.12389	0	0.965178	7.08907
-6.1017	0	0.987366	7.08907
-6.07951	0	1.00955	7.08907
-6.05732	0	1.03174	7.08907
-6.03514	0	1.05393	7.08907
-6.01295	0	1.07612	7.08907
-5.99076	0	1.09831	7.08907
-5.96857	0	1.12049	7.08907
-5.94638	0	1.14268	7.08907
-5.9242	0	1.16487	7.08907
-5.90201	0	1.18706	7.08907
-5.87982	0	1.20925	7.08907
-5.85763	0	1.23143	7.08907
-5.83544	0	1.25362	7.08907
-5.81326	0	1.27581	7.08907
-5.79107	0	1.298	7.08907
-5.76888	0	1.32019	7.08907
-5.74669	0	1.34237	7.08907
-5.7245	0	1.36456	7.08907
-5.70232	0	1.38675	7.08907
-5.68013	0	1.40894	7.08907
-5.65794	0	1.43113	7.08907
-5.63575	0	1.45331	7.08907
-5.61356	0	1.4755	7.08907
-5.59138	0	1.49769	7.08907
-5.56919	0	1.51988	7.08907
-5.547	0	1.54207	7.08907
-5.52481	0	1.56425	7.08907
-5.50262	0	1.58644	7.08907
-5.48044	0	1.60863	7.08907
-5.45825	0	1.63082	7.08907
-5.43606	0	1.65301	7.08907
-5.41387	0	1.67519	7.08907
-5.39168	0	1.69738	7.08907
-5.3695	0	1.71957	7.08907
-5.34731	0	1.74176	7.08907
-5.32512	0	1.76395	7.08907
-5.30293	0	1.78613	7.08907
-5.28074	0	1.80832	7.08907
-5.25856	0	1.83051	7.08907
-5.23637	0	1.8527	7.08907
-5.21418	0	1.87489	7.08907
-5.19199	0	1.89707	7.08907
-5.1698	0	1.91926	7.08907
-5.14762	0	1.94145	7.08907
-5.12543	0	1.96364	7.08907
-5.10324	0	1.98583	7.08907
-5.08105	0	2.00801	7.08907
-5.05886	0	2.0302	7.08907
-5.03668	0	2.05239	7.08907
-5.01449	0	2.07458	7.08907
-4.9923	0	2.09677	7.08907
-4.97011	0	2.11895	7.08907
-4.94792	0	2.14114	7.08907
-4.92574	0	2.16333	7.08907
-4.90355	0	2.18552	7.08907
-4.88136	0	2.20771	7.08907
-4.85917	0	2.22989	7.08907
-4.83698	0	2.25208	7.08907
-4.8148	0	2.27427	7.08907
-4.79261	0	2.29646	7.08907
-4.77042	0	2.31865	7.08907
-4.74823	0	2.34083	7.08907
-4.72604	0	2.36302	7.08907
-4.70386	0	2.38521	7.08907
-4.68167	0.0361301	2.4074	7.08907
-4.65948	0.0756502	2.42959	7.08907
-4.63729	0.0486294	2.45177	7.08907
-4.6151	-0.0438755	2.47396	7.08907
-4.59292	0	2.49615	7.08907
-4.57073	0	2.51834	7.08907
-4.54854	0	2.54053	7.08907
-4.52635	0.00248445	2.56271	7.08907
-4.50416	-0.0631331	2.5849	7.08907
-4.48198	-0.115771	2.60709	7.08907
-4.45979	-0.0207163	2.62928	7.08907
-4.4376	0	2.65147	7.08907
-4.41541	0	2.67365	7.08907
-4.39322	0	2.69584	7.08907
-4.37104	0.136952	2.71803	7.08907
-4.34885	2.94217	2.74022	7.08907
-4.32666	5.73602	2.76241	7.08907
-4.30447	6.70048	2.78459	7.08907
-4.28228	5.73794	2.80678	7.08907
-4.2601	5.26569	2.82897	7.08907
-4.23791	3.51723	2.85116	7.08907
-4.21572	4.42854	2.87335	7.08907
-4.19353	4.679	2.89553	7.08907
-4.17134	4.97099	2.91772	7.08907
-4.14916	5.24132	2.93991	7.08907
