# x_rel_mm	value	x_abs_mm	center_mm
-6.23483	0	0.011094	6.24592
-6.21264	0	0.033282	6.24592
-6.19045	0	0.05547	6.24592
-6.16826	0	0.077658	6.24592
-6.14608	0	0.099846	6.24592
-6.12389	0	0.122034	6.24592
-6.1017	0	0.144222	6.24592
-6.07951	0	0.16641	6.24592
-6.05732	0	0.188598	6.24592
-6.03514	0	0.210786	6.24592
-6.01295	0	0.232974	6.24592
-5.99076	0	0.255162	6.24592
-5.96857	0	0.27735	6.24592
-5.94638	0	0.299538	6.24592
-5.9242	0	0.321726	6.24592
-5.90201	0	0.343914	6.24592
-5.87982	0	0.366102	6.24592
-5.85763	0	0.38829	6.24592
-5.83544	0	0.410478	6.24592
-5.81326	0	0.432666	6.24592
-5.79107	0	0.454854	6.24592
-5.76888	0	0.477042	6.24592
-5.74669	0	0.49923	6.24592
-5.7245	0	0.521418	6.24592
-5.70232	0	0.543606	6.24592
-5.68013	0	0.565794	6.24592
-5.65794	0	0.587982	6.24592
-5.63575	0	0.61017	6.24592
-5.61356	0	0.632358	6.24592
-5.59138	0	0.654546	6.24592
-5.56919	0	0.676734	6.24592
-5.547	0	0.698922	6.24592
-5.52481	0	0.72111	6.24592
-5.50262	0	0.743298	6.24592
-5.48044	0	0.765486	6.24592
-5.45825	0	0.787674	6.24592
-5.43606	0	0.809862	6.24592
-5.41387	0	0.83205	6.24592
-5.39168	0	0.854238	6.24592
-5.3695	0	0.876426	6.24592
-5.34731	0	0.898614	6.24592
-5.32512	0	0.920802	6.24592
-5.30293	0	0.94299	6.24592
-5.28074	0	0.965178	6.24592
-5.25856	0	0.987366	6.24592
-5.23637	0	1.00955	6.24592
-5.21418	0	1.03174	6.24592
-5.19199	0	1.05393	6.24592
-5.1698	0	1.07612	6.24592
-5.14762	0	1.09831	6.24592
-5.12543	0	1.12049	6.24592
-5.10324	0	1.14268	6.24592
-5.08105	0	1.16487	6.24592
-5.05886	0	1.18706	6.24592
-5.03668	0	1.20925	6.24592
-5.01449	0	1.23143	6.24592
-4.9923	0	1.25362	6.24592
-4.97011	0	1.27581	6.24592
-4.94792	0	1.298	6.24592
-4.92574	0	1.32019	6.24592
-4.90355	0	1.34237	6.24592
-4.88136	0	1.36456	6.24592
-4.85917	0	1.38675	6.24592
-4.83698	0	1.40894	6.24592
-4.8148	0	1.43113	6.24592
-4.79261	-0.839251	1.45331	6.24592
-4.77042	-0.114031	1.4755	6.24592
-4.74823	-0.93845	1.49769	6.24592
-4.72604	0.223923	1.51988	6.24592
-4.70386	-1.97508	1.54207	6.24592
-4.68167	-5.31147	1.56425	6.24592
-4.65948	-2.87187	1.58644	6.24592
-4.63729	-0.508953	1.60863	6.24592
-4.6151	0.630849	1.63082	6.24592
-4.59292	-0.332627	1.65301	6.24592
-4.57073	1.00557	1.67519	6.24592
-4.54854	2.01471	1.69738	6.24592
-4.52635	1.77675	1.71957	6.24592
-4.50416	0.846725	1.74176	6.24592
-4.48198	-0.528553	1.76395	6.24592
-4.45979	-2.2628	1.78613	6.24592
-4.4376	-4.89888	1.80832	6.24592
-4.41541	-6.35102	1.83051	6.24592
-4.39322	-2.62142	1.8527	6.24592
-4.37104	-4.57455	1.87489	6.24592
-4.34885	3.95715	1.89707	6.24592
-4.32666	4.5135	1.91926	6.24592
-4.30447	4.6208	1.94145	6.24592
-4.28228	5.40103	1.96364	6.24592
-4.2601	5.07763	1.98583	6.24592
-4.23791	4.34278	2.00801	6.24592
-4.21572	3.45331	2.0302	6.24592
-4.19353	2.76331	2.05239	6.24592
-4.17134	2.45793	2.07458	6.24592
