# x_rel_mm	value	x_abs_mm	center_mm
-6.32358	0	0.011094	6.33467
-6.30139	0	0.033282	6.33467
-6.2792	0	0.05547	6.33467
-6.25702	0	0.077658	6.33467
-6.23483	0	0.099846	6.33467
-6.21264	0	0.122034	6.33467
-6.19045	0	0.144222	6.33467
-6.16826	0	0.16641	6.33467
-6.14608	0	0.188598	6.33467
-6.12389	0	0.210786	6.33467
-6.1017	0	0.232974	6.33467
-6.07951	0	0.255162	6.33467
-6.05732	0	0.27735	6.33467
-6.03514	0	0.299538	6.33467
-6.01295	0	0.321726	6.33467
-5.99076	0	0.343914	6.33467
-5.96857	0	0.366102	6.33467
-5.94638	0	0.38829	6.33467
-5.9242	0	0.410478	6.33467
-5.90201	0	0.432666	6.33467
-5.87982	0	0.454854	6.33467
-5.85763	0	0.477042	6.33467
-5.83544	0	0.49923	6.33467
-5.81326	0	0.521418	6.33467
-5.79107	0	0.543606	6.33467
-5.76888	0	0.565794	6.33467
-5.74669	0	0.587982	6.33467
-5.7245	0	0.61017	6.33467
-5.70232	0	0.632358	6.33467
-5.68013	0	0.654546	6.33467
-5.65794	0	0.676734	6.33467
-5.63575	0	0.698922	6.33467
-5.61356	0	0.72111	6.33467
-5.59138	0	0.743298	6.33467
-5.56919	0	0.765486	6.33467
-5.547	0	0.787674	6.33467
-5.52481	0	0.809862	6.33467
-5.50262	0	0.83205	6.33467
-5.48044	0	0.854238	6.33467
-5.45825	0	0.876426	6.33467
-5.43606	0	0.898614	6.33467
-5.41387	0	0.920802	6.33467
-5.39168	0	0.94299	6.33467
-5.3695	0	0.965178	6.33467
-5.34731	0	0.987366	6.33467
-5.32512	0	1.00955	6.33467
-5.30293	0	1.03174	6.33467
-5.28074	0	1.05393	6.33467
-5.25856	0	1.07612	6.33467
-5.23637	0	1.09831	6.33467
-5.21418	0	1.12049	6.33467
-5.19199	0	1.14268	6.33467
-5.1698	0	1.16487	6.33467
-5.14762	0	1.18706	6.33467
-5.12543	0	1.20925	6.33467
-5.10324	0	1.23143	6.33467
-5.08105	0	1.25362	6.33467
-5.05886	0	1.27581	6.33467
-5.03668	0	1.298	6.33467
-5.01449	0	1.32019	6.33467
-4.9923	0	1.34237	6.33467
-4.97011	0	1.36456	6.33467
-4.94792	0	1.38675	6.33467
-4.92574	0	1.40894	6.33467
-4.90355	0	1.43113	6.33467
-4.88136	0	1.45331	6.33467
-4.85917	0	1.4755	6.33467
-4.83698	0	1.49769	6.33467
-4.8148	0	1.51988	6.33467
-4.79261	0	1.54207	6.33467
-4.77042	-0.318337	1.56425	6.33467
-4.74823	-1.43196	1.58644	6.33467
-4.72604	-2.65146	1.60863	6.33467
-4.70386	0.0706529	1.63082	6.33467
-4.68167	2.37031	1.65301	6.33467
-4.65948	2.29114	1.67519	6.33467
-4.63729	7.08205	1.69738	6.33467
-4.6151	2.01363	1.71957	6.33467
-4.59292	2.6704	1.74176	6.33467
-4.57073	2.53797	1.76395	6.33467
-4.54854	1.14372	1.78613	6.33467
-4.52635	-0.58902	1.80832	6.33467
-4.50416	-2.48164	1.83051	6.33467
-4.48198	-5.00357	1.8527	6.33467
-4.45979	-3.58432	1.87489	6.33467
-4.4376	7.80658	1.89707	6.33467
-4.41541	-3.31815	1.91926	6.33467
-4.39322	0	1.94145	6.33467
-4.37104	0	1.96364	6.33467
-4.34885	0	1.98583	6.33467
-4.32666	1.28058	2.00801	6.33467
-4.30447	1.84139	2.0302	6.33467
-4.28228	2.49193	2.05239	6.33467
-4.2601	1.94469	2.07458	6.33467
