# x_mm	value
0.0180894	11.0857
0.0542683	12.6975
0.0904472	14.3657
0.126626	17.1132
0.162805	20.447
0.198984	23.1243
0.235163	27.3247
0.271341	30.3253
0.30752	32.9858
0.343699	36.0279
0.379878	38.5834
0.416057	41.4883
0.452236	43.8783
0.488415	46.1263
0.524593	47.5731
0.560772	48.3641
0.596951	49.7191
0.63313	51.0491
0.669309	52.6705
0.705488	53.9591
0.741667	55.2561
0.777846	56.4943
0.814024	57.7956
0.850203	59.5308
0.886382	61.734
0.922561	64.3034
0.95874	65.0377
0.994919	64.8336
1.0311	64.3305
1.06728	65.1373
1.10346	66.2469
1.13963	67.8758
1.17581	68.7981
1.21199	68.9677
1.24817	69.8106
1.28435	70.5856
1.32053	71.1607
1.35671	71.4117
1.39289	71.4148
1.42907	71.2735
1.46524	71.1087
1.50142	70.4369
1.5376	69.0711
1.57378	66.5584
1.60996	63.0884
1.64614	58.3333
1.68232	54.6602
1.7185	50.3567
1.75467	45.6166
1.79085	41.2722
1.82703	38.8246
1.86321	nan
1.89939	nan
1.93557	nan
1.97175	nan
2.00793	nan
2.04411	nan
2.08028	nan
2.11646	nan
2.15264	nan
2.18882	nan
2.225	nan
2.26118	nan
2.29736	nan
2.33354	nan
2.36972	nan
2.40589	nan
2.44207	nan
2.47825	nan
2.51443	nan
2.55061	nan
2.58679	nan
2.62297	49.8672
2.65915	49.1761
2.69533	48.8779
2.7315	48.3447
2.76768	49.309
2.80386	50.2117
2.84004	52.0351
2.87622	53.7522
2.9124	55.2273
2.94858	57.8616
2.98476	59.1052
3.02093	59.3506
3.05711	59.8621
3.09329	59.6637
3.12947	59.2294
3.16565	59.5147
3.20183	59.7184
3.23801	58.9949
3.27419	58.0669
3.31037	57.5269
3.34654	57.0039
3.38272	56.5374
3.4189	56.1263
3.45508	55.9658
3.49126	55.1862
3.52744	54.6693
3.56362	54.1426
3.5998	52.9619
3.63598	51.7865
3.67215	50.5635
3.70833	48.9179
3.74451	47.2523
3.78069	45.5749
3.81687	44.2818
3.85305	43.1502
3.88923	41.8874
3.92541	40.7745
3.96159	38.827
3.99776	38.0284
4.03394	36.8385
4.07012	34.427
4.1063	31.4058
4.14248	29.1371
4.17866	27.15
4.21484	25.7231
4.25102	23.6086
4.2872	20.6688
4.32337	18.5555
4.35955	16.3295
4.39573	15.3781
4.43191	15.1643
