# x_mm	value
0.0180894	23.2859
0.0542683	25.5609
0.0904472	26.7361
0.126626	27.5112
0.162805	28.0662
0.198984	30.5546
0.235163	32.5805
0.271341	35.8446
0.30752	39.4409
0.343699	42.6478
0.379878	45.1796
0.416057	47.5343
0.452236	49.8399
0.488415	51.7947
0.524593	53.3206
0.560772	54.4349
0.596951	55.1509
0.63313	55.9523
0.669309	57.5699
0.705488	59.3338
0.741667	60.4378
0.777846	62.0474
0.814024	63.1623
0.850203	64.8356
0.886382	65.9925
0.922561	66.7982
0.95874	67.6638
0.994919	68.1826
1.0311	69.3245
1.06728	70.2147
1.10346	70.8604
1.13963	71.7925
1.17581	72.1827
1.21199	72.7348
1.24817	73.6717
1.28435	73.9499
1.32053	73.9888
1.35671	73.6455
1.39289	73.4609
1.42907	73.1828
1.46524	72.7506
1.50142	71.9048
1.5376	70.0395
1.57378	68.0266
1.60996	64.0388
1.64614	60.2817
1.68232	53.9586
1.7185	45.6257
1.75467	34.7233
1.79085	25.3691
1.82703	17.3983
1.86321	nan
1.89939	nan
1.93557	nan
1.97175	nan
2.00793	nan
2.04411	nan
2.08028	nan
2.11646	nan
2.15264	nan
2.18882	nan
2.225	nan
2.26118	nan
2.29736	nan
2.33354	nan
2.36972	nan
2.40589	nan
2.44207	nan
2.47825	nan
2.51443	nan
2.55061	nan
2.58679	nan
2.62297	57.3996
2.65915	56.252
2.69533	58.5055
2.7315	59.8439
2.76768	61.1023
2.80386	64.309
2.84004	64.9308
2.87622	66.1383
2.9124	66.5816
2.94858	67.5721
2.98476	68.7576
3.02093	69.7982
3.05711	70.4768
3.09329	70.3769
3.12947	69.4507
3.16565	68.2578
3.20183	67.2239
3.23801	66.6878
3.27419	66.0629
3.31037	65.7107
3.34654	65.5778
3.38272	65.5482
3.4189	65.4229
3.45508	64.9024
3.49126	63.4672
3.52744	62.1335
3.56362	60.1271
3.5998	57.8966
3.63598	57.213
3.67215	55.5783
3.70833	53.8254
3.74451	52.8141
3.78069	51.32
3.81687	49.4429
3.85305	47.6469
3.88923	45.7541
3.92541	44.5589
3.96159	43.0242
3.99776	41.111
4.03394	39.231
4.07012	37.6563
4.1063	37.0225
4.14248	35.8033
4.17866	34.5828
4.21484	30.985
4.25102	28.4115
4.2872	24.6985
4.32337	21.9865
4.35955	19.6217
4.39573	17.9576
4.43191	16.6754
