# x_mm	value
0.0168561	1.91495
0.0505682	2.78441
0.0842803	3.30483
0.117992	3.25024
0.151705	3.51057
0.185417	3.44994
0.219129	3.30704
0.252841	2.58441
0.286553	3.14121
0.320265	3.24415
0.353977	3.09884
0.387689	3.05265
0.421402	3.6363
0.455114	4.45075
0.488826	4.70476
0.522538	4.70497
0.55625	5.34815
0.589962	5.79023
0.623674	6.43439
0.657386	6.06536
0.691098	6.45666
0.724811	6.83062
0.758523	6.56472
0.792235	6.91495
0.825947	6.8015
0.859659	6.89337
0.893371	7.19248
0.927083	8.10703
0.960795	9.05168
0.994508	8.92489
1.02822	9.44297
1.06193	10.0474
1.09564	10.5352
1.12936	11.425
1.16307	11.4385
1.19678	11.934
1.23049	13.5891
1.2642	14.7288
1.29792	15.4301
1.33163	16.9902
1.36534	17.8801
1.39905	19.8236
1.43277	20.0118
1.46648	20.3554
1.50019	20.9676
1.5339	20.7767
1.56761	21.1256
1.60133	20.4889
1.63504	19.5233
1.66875	19.3052
1.70246	17.764
1.73617	16.035
1.76989	15.0128
1.8036	13.6555
1.83731	12.3034
1.87102	10.1921
1.90473	9.11375
1.93845	7.96901
1.97216	5.94421
2.00587	4.03715
2.03958	3.37411
2.0733	1.72129
2.10701	1.60489
2.14072	1.35178
2.17443	0.647649
2.20814	0.342028
2.24186	1.40262
2.27557	1.09678
2.30928	0.715166
2.34299	1.85213
2.3767	2.45304
2.41042	3.85443
2.44413	5.24678
2.47784	6.16001
2.51155	7.30557
2.54527	8.55793
2.57898	10.1014
2.61269	10.8124
2.6464	11.9649
2.68011	12.164
2.71383	12.6732
2.74754	12.5162
2.78125	12.6702
2.81496	12.4614
2.84867	11.653
2.88239	11.8068
2.9161	12.0252
2.94981	11.5823
2.98352	11.8641
3.01723	11.3593
3.05095	10.5604
3.08466	10.2017
3.11837	9.63998
3.15208	10.0868
3.1858	8.97428
3.21951	9.12607
3.25322	9.07408
3.28693	8.54219
3.32064	8.18475
3.35436	7.88688
3.38807	7.1422
3.42178	6.36335
3.45549	5.53914
3.4892	5.09983
3.52292	5.51139
3.55663	4.74988
3.59034	4.0541
3.62405	3.74631
3.65777	4.04687
3.69148	4.37219
3.72519	3.15264
3.7589	2.89041
3.79261	2.50358
3.82633	2.53336
3.86004	2.71428
3.89375	3.1781
3.92746	2.86801
3.96117	3.77532
3.99489	3.93043
4.0286	4.08916
4.06231	4.89079
4.09602	5.06568
4.12973	5.0204
4.16345	4.90919
4.19716	5.51595
4.23087	5.87795
4.26458	6.24901
4.2983	5.54871
4.33201	5.55034
4.36572	5.86496
4.39943	4.68522
4.43314	3.41737
